,0,1,2
166,"'TIBABUYES OCCIDENTAL, 009250 (167)'",4.75214606122449,-74.12243555102042
167,"'LA CAMELIA II, 004317 (168)'",4.613159931034482,-74.1213474137931
168,"'TIBANA, 004212 (169)'",4.611918142857144,-74.10659502857145
169,"'NUESTRA SENORA DEL ROSARIO, 009140 (170)'",4.788945954545454,-74.06795147727274
170,"'CASABLANCA SUBA URBANO I, 009138 (171)'",4.7818565,-74.05277025
171,"'QUIROGA I, 002209 (172)'",4.581267,-74.11042900000001
172,"'LA GRANJA NORTE, 008524 (173)'",4.750159897727273,-74.02515423863636
173,"'LA PAMPA, 006511 (174)'",4.652407129032258,-74.13913993548387
174,"'SAN CRISTOBAL SUR, 001108 (175)'",4.569436939485628,-74.07598128593041
175,"'TABORA, 005609 (176)'",4.6938963000000005,-74.09924722000001
176,"'PALERMO, 007205 (177)'",4.6356825666666674,-74.07368673333332
177,"'CASABLANCA SUBA II, 107111 (178)'",4.830592937853107,-74.05180647645952
178,"'QUIROGA, 002202 (179)'",4.579418333333333,-74.11318622222223
179,"'TUNJUELITO, 002508 (180)'",4.561407822580645,-74.12796691935485
180,"'MARRUECOS, 001418 (181)'",4.552602560747664,-74.11465339252337
181,"'LA MACARENA, 008105 (182)'",4.6143472333333335,-74.06480656666668
182,"'SANTA INES, 003107 (183)'",4.597924692307692,-74.08136907692307
183,"'LOS EJIDOS, 004208 (184)'",4.619817545454546,-74.09873278409091
184,"'PARAMO, 108104 (185)'",4.6865727402458575,-74.0185192725815
185,"'SAN FELIPE DE USME RURAL, 202404 (186)'",4.5011347,-74.0963275
186,"'LA ALAMEDA, 003101 (187)'",4.610755857142857,-74.07349952380953
187,"'SAN ANTONIO NORTE, 008523 (188)'",4.75695424,-74.02768064
188,"'EL MOCHUELO II URBANO, 002598 (189)'",4.521562629420084,-74.12997648656294
189,"'BETANIA, 103201 (190)'",4.210862584147666,-74.15034270466884
190,"'SAGRADO CORAZON, 008101 (191)'",4.625524674999999,-74.06728360000001
191,"'SANTA MATILDE, 004209 (192)'",4.601315352941176,-74.10737942647057
192,"'SAN ANTONIO NOROCCIDENTAL, 008528 (193)'",4.755791552083333,-74.04069777083333
193,"'PARAMO II RURAL, 108112 (194)'",4.696780523809524,-74.02390314285712
194,"'LOS MOLINOS, 001417 (195)'",4.556687924242425,-74.10862607575757
195,"'JOSE ANTONIO GALAN, 004569 (196)'",4.606758455555555,-74.17922791111111
196,"'SAN JOSE DE USAQUEN, 008529 (197)'",4.754923166666667,-74.03116280392157
197,"'INGEMAR ORIENTAL RURAL, 101103 (198)'",4.63730906501548,-74.03876659287926
198,"'TEUSAQUILLO, 007104 (199)'",4.622702181818182,-74.07227565909089
199,"'EL NUEVO PORTAL II RURAL, 202506 (200)'",4.489279519230769,-74.09626058653846
200,"'LA PEA RURAL, 201404 (201)'",4.586367945945946,-74.06518354054054
201,"'SAN MARTIN, 004592 (202)'",4.629184666666666,-74.18773304166668
202,"'ALCALA, 004407 (203)'",4.602066461538461,-74.12587742307691
203,"'TORCA I, 008539 (204)'",4.810595612612613,-74.03264517117117
204,"'EDUARDO SANTOS, 004105 (205)'",4.594878368421053,-74.09112652631579
205,"'LAGO GAITAN, 008313 (206)'",4.665677115384616,-74.05919307692308
206,"'BELLAVISTA OCCIDENTAL, 005503 (207)'",4.675899032258064,-74.08883380645162
207,"'VERACRUZ, 003109 (208)'",4.602323153846155,-74.07283958974358
208,"'LA UNION, 109106 (209)'",3.9955039705882354,-74.36322748014706
209,"'CENTRO FONTIBON, 006410 (210)'",4.674859229357798,-74.14227448623852
210,"'TECHO, 004548 (211)'",4.626906857142857,-74.14729214285714
211,"'VEINTE DE JULIO, 001405 (212)'",4.570130235955055,-74.09821351685393
212,"'TIBAQUE, 101306 (213)'",4.5411166678758565,-74.06766615397018
213,"'NAZARETH, 103106 (214)'",4.166460199820789,-74.15523045878136
214,"'EL TOBERIN, 008501 (215)'",4.747845772727273,-74.0417823409091
215,"'LAS AURAS, 103105 (216)'",4.1718337043235705,-74.17059347419804
216,"'NUEVO SAN ANDRES, 002505 (217)'",4.526110509803922,-74.1197672352941
217,"'LAGUNA VERDE, 103204 (218)'",4.184988274725275,-74.16244705128204
218,"'SALAZAR USME, 002572 (219)'",4.518369101123596,-74.11378938202246
219,"'GALERIAS, 007207 (220)'",4.642751047619048,-74.07567309523809
220,"'SAN JUAN BAUTISTA, 002555 (221)'",4.5141327560975615,-74.11932412601625
221,"'EL ROCIO NORTE, 008522 (222)'",4.759881652173913,-74.02745882608696
222,"'SIETE DE AGOSTO, 007311 (223)'",4.657280629629629,-74.07107625925926
223,"'COLOMBIA, 007303 (224)'",4.659465055555555,-74.0663085
224,"'LA ESPERANZA SUR, 006315 (225)'",4.656896894736842,-74.11646657894737
225,"'CIUDAD KENNEDY OCCIDENTAL, 004508 (226)'",4.622790684210526,-74.16084
226,"'ARBOLEDA SUR, 001423 (227)'",4.563076636065574,-74.1169368409836
227,"'LOS ALMENDROS, 004609 (228)'",4.646594705882354,-74.17587011764705
228,"'PROVIVIENDA OCCIDENTAL, 004613 (229)'",4.6356195,-74.16784823529413
229,"'LA PICOTA ORIENTAL, 002510 (230)'",4.5448617883211675,-74.11346991970802
230,"'NUEVA ESPERANZA, 204106 (231)'",4.547341,-74.1630762173913
231,"'EL MIRADOR II, 204107 (232)'",4.547513785714286,-74.15989110714288
232,"'TAQUECITOS, 103102 (233)'",4.164693353798926,-74.21805893476592
